axis,min,max,range,mean,median,std,var,q1,q3,iqr,skewness,kurtosis
x,-52.00690282,52.01002367,104.01692649,2.035615113976763,3.1418898032,17.510395880928566,307.9678514580977,-14.696139961750001,18.442194126183335,33.13833408793334,-0.08351119200329278,-1.4126332344065002
y,-37.41058788,42.82501054,80.23559842,-0.6506424153306537,-2.115953128516667,12.426188123049613,155.94743628446764,-11.650490616458335,9.6902407954875,21.340731411945832,0.3003513959463995,-1.0530079268729517
z,-129.52525979,-77.37078299,52.15447680000001,-90.05015842234373,-90.06665968954167,3.657869802597884,13.587080205750103,-92.2242751028125,-87.87029045670417,4.35398464610833,-0.6907748180019087,4.993991516936192
