axis,min,max,range,mean,median,std,var,q1,q3,iqr,skewness,kurtosis
x,-53.6129611,52.01002367,105.62298477,2.035615113977284,2.8433890032833333,17.271535282806425,299.808596230968,-13.952371566775,17.899071781258336,31.851443348033335,-0.07285673642101671,-1.3312184636069575
y,-42.70115327,42.82501054,85.52616381,-0.6506424153303108,-1.8202052688333334,12.593087886006547,160.02356411227606,-11.389578028075,9.612192897852083,21.001770925927083,0.2372192681554367,-1.010494766949249
z,-132.98666432,-76.30622343,56.680440889999986,-90.05015842234383,-89.75599114603332,4.085331724730837,17.288835663404935,-92.47321432198541,-87.35891115633542,5.114303165649986,-0.7886195629821184,3.872953446916495
